"filename", "language", "PHP", "comment", "blank", "total"
"c:\xampp\htdocs\logistica\app\Http\Controllers\AuthController.php", "PHP", 79, 8, 19, 106
"c:\xampp\htdocs\logistica\app\Http\Controllers\Auth\LoginController.php", "PHP", 8, 0, 2, 10
"c:\xampp\htdocs\logistica\app\Http\Controllers\Auth\RegisterController.php", "PHP", 6, 0, 0, 6
"c:\xampp\htdocs\logistica\app\Http\Controllers\CertificateController.php", "PHP", 6, 1, 0, 7
"c:\xampp\htdocs\logistica\app\Http\Controllers\CollectionAccountController.php", "PHP", 4, 0, 1, 5
"c:\xampp\htdocs\logistica\app\Http\Controllers\LogisticController.php", "PHP", 9, 0, 0, 9
"c:\xampp\htdocs\logistica\app\Http\Controllers\UserController.php", "PHP", 2, 0, 0, 2
"c:\xampp\htdocs\logistica\app\Mail\ResetPassword.php", "PHP", 33, 14, 9, 56
"c:\xampp\htdocs\logistica\app\Mail\UsersCreateMail.php", "PHP", 35, 14, 8, 57
"c:\xampp\htdocs\logistica\app\Models\User.php", "PHP", 1, 0, 0, 1
"c:\xampp\htdocs\logistica\resources\views\certificates\create.blade.php", "PHP", 33, 0, 0, 33
"c:\xampp\htdocs\logistica\resources\views\certificates\edit.blade.php", "PHP", 4, 0, 0, 4
"c:\xampp\htdocs\logistica\resources\views\emails\createUsers.blade.php", "PHP", 13, 0, 0, 13
"c:\xampp\htdocs\logistica\resources\views\emails\resetPassword.blade.php", "PHP", 13, 0, 0, 13
"c:\xampp\htdocs\logistica\resources\views\layouts\app.blade.php", "PHP", 2, 0, 0, 2
"c:\xampp\htdocs\logistica\resources\views\logistics\create.blade.php", "PHP", 9, 0, 1, 10
"c:\xampp\htdocs\logistica\resources\views\users\index.blade.php", "PHP", 56, 0, 5, 61
"c:\xampp\htdocs\logistica\resources\views\users\show.blade.php", "PHP", 25, 0, 6, 31
"c:\xampp\htdocs\logistica\routes\web.php", "PHP", 9, 0, 1, 10
"Total", "-", 347, 37, 52, 436
