"filename", "language", "PHP", "JavaScript", "SCSS", "Markdown", "CSS", "JSON", "XML", "Python", "comment", "blank", "total"
"c:\xampp\htdocs\logistica\README.md", "Markdown", 0, 0, 0, 45, 0, 0, 0, 0, 0, 22, 67
"c:\xampp\htdocs\logistica\a.py", "Python", 0, 0, 0, 0, 0, 0, 0, 22, 3, 7, 32
"c:\xampp\htdocs\logistica\app\Http\Controllers\AssistenceController.php", "PHP", 94, 0, 0, 0, 0, 0, 0, 0, 26, 5, 125
"c:\xampp\htdocs\logistica\app\Http\Controllers\AuthController.php", "PHP", 79, 0, 0, 0, 0, 0, 0, 0, 8, 19, 106
"c:\xampp\htdocs\logistica\app\Http\Controllers\Auth\ConfirmPasswordController.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 20, 7, 40
"c:\xampp\htdocs\logistica\app\Http\Controllers\Auth\ForgotPasswordController.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 10, 5, 23
"c:\xampp\htdocs\logistica\app\Http\Controllers\Auth\LoginController.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 10, 10, 42
"c:\xampp\htdocs\logistica\app\Http\Controllers\Auth\RegisterController.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 0, 32, 9, 84
"c:\xampp\htdocs\logistica\app\Http\Controllers\Auth\ResetPasswordController.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 15, 6, 30
"c:\xampp\htdocs\logistica\app\Http\Controllers\Auth\VerificationController.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 20, 7, 42
"c:\xampp\htdocs\logistica\app\Http\Controllers\CertificateController.php", "PHP", 86, 0, 0, 0, 0, 0, 0, 0, 29, 16, 131
"c:\xampp\htdocs\logistica\app\Http\Controllers\CollectionAccountController.php", "PHP", 82, 0, 0, 0, 0, 0, 0, 0, 5, 15, 102
"c:\xampp\htdocs\logistica\app\Http\Controllers\Controller.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
